セリフ,ChracterName,BlockName,FileName
"肯定します。
ですが、これ以上の聞き込みは情報の重複を招く可能性が高いでしょう。
一度馬車の前へ戻ることを推奨——",Fabo,ReportedCoachmanQuestComplete ,
おーい！ こっちだよ！ 無事に戻ったようだね！,Axis,ReportedCoachmanQuestComplete ,Axis_normal_normal
"あ、アクスさん！ どこに行ってたんですか？ 
ずっと探してたんですよ。",Heroin,ReportedCoachmanQuestComplete ,Heroin_flexible_normal
少しばかり野暮用があってね。待たせてしまったかな？,Axis,ReportedCoachmanQuestComplete ,Axis_normal_normal
"いえ、それはいいんですけど……。
馬車、置いていって大丈夫だったんですか？ 高価な代物が
入ってるって言ってましたよね？",Heroin,ReportedCoachmanQuestComplete ,Heroin_flexible_troubled
"馬車？ ああ、そんなことも言ったね。
ええ、大丈夫だよ。ほんの少し離れただけだから。",Axis,ReportedCoachmanQuestComplete ,Axis_normal_normal
"それよりも、どうだった？ 
例の場所へは行ってきてくれたかな？",Axis,ReportedCoachmanQuestComplete ,Axis_normal_normal
"あ, はい。ちゃんと汲んできました。……はい、これです。",Heroin,ReportedCoachmanQuestComplete ,Heroin_flexible_normal
"確かに受け取ったよ、ありがとう。……これで、
君が無事にオアシスへ辿り着けたことが証明されたわけだ。
本当によかったよ。",Axis,ReportedCoachmanQuestComplete ,Axis_normal_normal
……？ はい。……あ、あの、アクスさん。,Heroin,ReportedCoachmanQuestComplete ,Heroin_flexible_normal
"おや、どうかしたかい？ ……そういえば、
この村の巫女さんには出会ったかい？",Axis,ReportedCoachmanQuestComplete ,Axis_normal_normal
"フィルさんのことですか？ はい、会いました。
彼女すごく無理をしていて、どうしても心配で。",Heroin,ReportedCoachmanQuestComplete ,Heroin_flexible_normal
"彼女なら、つい先ほど村の奥にある
神殿の方へ歩いていくのを見かけたよ。",Axis,ReportedCoachmanQuestComplete ,Axis_normal_normal
"えっ……アクスさん、出発の前に少しだけ時間をください！
フィルさんの様子を見てきたいんです。",Heroin,ReportedCoachmanQuestComplete ,Heroin_flexible_surprised
"ええ、構わないよ。
幸い、今は君以外に乗客はいないからね。
時間は気にしなくて大丈夫だよ。ゆっくりしてくるといい。",Axis,ReportedCoachmanQuestComplete ,Axis_normal_normal
ありがとうございます。助かります。,Heroin,ReportedCoachmanQuestComplete ,Heroin_flexible_normal
