セリフ,ChracterName,BlockName,FileName
"おや、見かけん顔じゃな。
こんな場所まで、よく砂漠を越えてきなさった。",OldMan_Desert_1,OldMan_Desert_1_Default,OldMan_Desert_1_normal_normal
"アクスという御者じゃと？ いや、ワシは毎日ここにおるが、
そんな男は見かけとらんのう。
よそ者がここを通れば、すぐにわかるはずじゃがな。",OldMan_Desert_1,OldMan_Desert_1_InquiryAboutFill,OldMan_Desert_1_normal_normal
"フィル様のことか……。
あの子が一人で背負わされておる荷は、
あまりにも重く、見ていて忍びないのじゃよ。",OldMan_Desert_1,OldMan_Desert_1_InquiryAboutFill,OldMan_Desert_1_normal_normal
"本来であれば、もう少し年を重ね、
覚悟を決めてから役目を引き継ぐものなんじゃが……
先代であった姉君が、生贄として召されてしもうたからな。",OldMan_Desert_1,OldMan_Desert_1_InquiryAboutFill,OldMan_Desert_1_normal_normal
"姉君の代わりにオアシスを守ろうと必死に振る舞っておるが、
あの子の細い肩にはあまりに重すぎる使命じゃて……。",OldMan_Desert_1,OldMan_Desert_1_InquiryAboutFill,OldMan_Desert_1_normal_normal
"ワシは長く生きすぎた。
幾人の娘が神殿へ消えるのを見送ってきたか……。
この呪われた犠牲の連鎖は、一体いつまで続くのじゃろうな……。",OldMan_Desert_1,OldMan_Desert_1_AfterInquiryAboutFill,OldMan_Desert_1_normal_normal
"なんということじゃ……
我らの命の源であるオアシスが枯れてしまうとは……
神は我らを見放されたというのか……。",OldMan_Desert_1,OldMan_Desert_1_AfterFirstMetLevias,OldMan_Desert_1_normal_normal
……水が少しだけ戻ったようじゃが、これでは何日持つことか。,OldMan_Desert_1,OldMan_Desert_1_AfterOasisPartiallyRestored,OldMan_Desert_1_normal_normal
おお……水が戻っておる。,OldMan_Desert_1,OldMan_Desert_1_AfterTempleBossDefeat,OldMan_Desert_1_normal_normal
これで、村もしばらくは安心じゃのう。,OldMan_Desert_1,OldMan_Desert_1_AfterTempleBossDefeat,OldMan_Desert_1_normal_normal
装置を全て起動しよう。,narrative,BossGate_Default,
扉の先に行く前に、フィルさんに話しかけておこう。,narrative,BossGate_CompleteAllOrbsPlacedInDevice,
"おーっと！　そこのあなた、ちょっと待ったー！
ふふふ、いいところに通りかかったわね！",Alchemistess_Desert,Alchemistess_Desert_Default,
"私は錬金術師！　今はお師匠様の言いつけで、
錬金術の素晴らしさを広める活動をしている真っ最中なの！",Alchemistess_Desert,Alchemistess_Desert_Default,
"見て見て、このレシピ！　これさえあれば、
材料を揃えるだけで誰でも簡単にアイテムが作れちゃうんだから！",Alchemistess_Desert,Alchemistess_Desert_Default,
そうだ、あなたにもこの感動を分けてあげる！　はい、これ！,Alchemistess_Desert,Alchemistess_Desert_Default,
"よし、それじゃあ私はもっとたくさんの人に広めてくるわ！　
錬金術で、あなたの旅がもっとキラキラになりますように！　
じゃあねー！",Alchemistess_Desert,Alchemistess_Desert_Default,
