EnemyID,EnemyName,HP,RequiredLevel,EXP,Coin,DropType,TargetID,TargetName,Chance,Count,HasCondition,ConditionType,ConditionValue,IsUnique
15014,サンドドレイク,436,8,45,3,Item,10007,サンドドレイクの尻尾,20,1,FALSE,None,0,FALSE
15015,エクタス,515,8,50,3,Item,10001,エクタスの腕,20,1,FALSE,None,0,FALSE
15016,ダストデビル,515,8,50,3,Item,8010,蜜漬けナツメヤシ,40,3,FALSE,None,0,FALSE
15017,蒼儡兵(飛行型),533,10,80,8,Item,10003,蒼儡兵のレンガ,20,1,FALSE,None,0,FALSE
15018,ダストボルテックス,515,9,65,5,Item,8010,蜜漬けナツメヤシ,48,5,FALSE,None,0,FALSE
15019,蒼儡兵(歩行型),577,10,80,8,Item,10004,蒼儡兵の装甲の破片,20,1,FALSE,None,0,FALSE
15021,停滞のメルカディス,4000,14,784,50,Item,10006,蒼儡兵の浮遊輪環,33,1,FALSE,None,0,FALSE
15031,グレイガーゴイル,852,14,130,12,Item,10008,石像の紅眼,20,1,FALSE,None,0,FALSE
15032,グルームバット,646,14,130,12,Item,10009,薄い翼膜,30,1,FALSE,None,0,FALSE
15033,アイアンガルド,1112,15,145,15,Item,10010,塔石の装甲片,20,1,FALSE,None,0,FALSE
15034,ジュエルフェアリー,1500,16,1500,200,Item,12008,紅晶,10,1,FALSE,,,TRUE
15041,フロストスライム,784,17,190,18,Item,10020,砂糖,40,2,FALSE,None,0,FALSE
15042,フロストフェアリー,603,17,190,18,Item,10011,雪華の飾り,10,1,FALSE,None,0,FALSE
15043,霜儡兵(小型),856,18,210,20,Item,10012,白晶の吐霜器,20,1,FALSE,None,0,FALSE
15045,霜儡兵(中型),856,18,250,22,Item,10013,白晶の拳甲,20,1,FALSE,None,0,FALSE
15046,霜儡兵(大型),2857,19,1000,30,Item,10015,白晶の肩甲,40,1,FALSE,None,0,FALSE
15001,機械1,127,1,1,1,Item,8003,力の薬草,1,1,FALSE,None,0,FALSE
15002,機械2,178,1,1,1,Item,8002,薬草,16.7,2,FALSE,None,0,FALSE
15005,スライム,382,3,8,1,Item,8008,ドーナツ,16.7,2,FALSE,None,0,FALSE
15006,ワイルドウィング,310,3,8,2,Item,8005,速さの薬草,15,1,FALSE,None,0,FALSE
15014,サンドドレイク,436,8,45,3,Item,8009,ココナッツ,60,3,FALSE,None,0,FALSE
15015,エクタス,515,8,50,3,Item,10002,エクタスの花,5,1,FALSE,None,0,FALSE
15017,蒼儡兵(飛行型),533,10,80,8,Item,10005,蒼儡兵のコア,3,1,FALSE,None,0,FALSE
15018,ダストボルテックス,515,9,65,5,Item,12002,緑の珠,10,1,FALSE,,,TRUE
15019,蒼儡兵(歩行型),577,10,80,8,Item,10005,蒼儡兵のコア,3,1,FALSE,None,0,FALSE
15021,停滞のメルカディス,4000,14,784,50,Item,8011,碧玉の霊薬,100,2,FALSE,None,0,FALSE
15031,グレイガーゴイル,852,14,130,12,Item,10020,砂糖,40,1,FALSE,None,0,FALSE
15032,グルームバット,646,14,130,12,Item,10020,砂糖,40,1,FALSE,None,0,FALSE
15033,アイアンガルド,1112,15,145,15,Item,10021,バター,40,2,FALSE,None,0,FALSE
15041,フロストスライム,784,17,190,18,Item,10021,バター,40,3,FALSE,None,0,FALSE
15042,フロストフェアリー,603,17,190,18,Item,10020,砂糖,49,2,FALSE,None,0,FALSE
15043,霜儡兵(小型),856,18,210,20,Item,10014,霜儡兵のコア,5,1,FALSE,None,0,FALSE
15045,霜儡兵(中型),856,18,250,22,Item,10014,霜儡兵のコア,5,1,FALSE,None,0,FALSE
15046,霜儡兵(大型),2857,19,1000,30,Item,10016,霜儡兵の巨大なコア,10,1,FALSE,None,0,FALSE
15002,機械2,178,1,1,1,Item,8004,守りの薬草,10,1,FALSE,None,0,FALSE
15005,スライム,382,3,8,1,Item,8004,守りの薬草,12,1,FALSE,None,0,FALSE
15006,ワイルドウィング,310,3,8,2,Item,1010,フレアセラフィム,1,1,FALSE,None,0,FALSE
15015,エクタス,515,8,50,3,Item,8009,ココナッツ,42,5,FALSE,None,0,FALSE
15017,蒼儡兵(飛行型),533,10,80,8,Item,8009,ココナッツ,70,4,FALSE,None,0,FALSE
15019,蒼儡兵(歩行型),577,10,80,8,Item,8009,ココナッツ,40,7,FALSE,None,0,FALSE
15031,グレイガーゴイル,852,14,130,12,Item,8012,雪リンゴ,50,3,FALSE,None,0,FALSE
15032,グルームバット,646,14,130,12,Item,8012,雪リンゴ,50,3,FALSE,None,0,FALSE
15033,アイアンガルド,1112,15,145,15,Item,8012,雪リンゴ,70,4,FALSE,None,0,FALSE
15041,フロストスライム,784,17,190,18,Item,8012,雪リンゴ,50,4,FALSE,None,0,FALSE
15042,フロストフェアリー,603,17,190,18,Item,8012,雪リンゴ,50,4,FALSE,None,0,FALSE
15043,霜儡兵(小型),856,18,210,20,Item,10020,砂糖,40,3,FALSE,None,0,FALSE
15045,霜儡兵(中型),856,18,250,22,Item,10021,バター,50,3,FALSE,None,0,FALSE
15046,霜儡兵(大型),2857,19,1000,30,Item,8012,雪リンゴ,80,5,FALSE,None,0,FALSE
15017,蒼儡兵(飛行型),533,10,80,8,Item,8011,碧玉の霊薬,3,1,FALSE,None,0,FALSE
15019,蒼儡兵(歩行型),577,10,80,8,Item,8011,碧玉の霊薬,3,1,FALSE,None,0,FALSE
15031,グレイガーゴイル,852,14,130,12,SkillCrystal,0,,10,,FALSE,None,0,FALSE
15032,グルームバット,646,14,130,12,Skill,21102,AutoDropItemCollect,5,,FALSE,None,0,FALSE
15033,アイアンガルド,1112,15,145,15,Skill,21001,DashSpeedUp,3,,FALSE,None,0,FALSE
15041,フロストスライム,784,17,190,18,Skill,21401,ConsecutiveHunt,3,,FALSE,None,0,FALSE
15045,霜儡兵(中型),856,18,250,22,Skill,21002,JumpPowerUp,3,,FALSE,None,0,FALSE
15046,霜儡兵(大型),2857,19,1000,30,Skill,21301,LastStand,7,,FALSE,None,0,FALSE
